row_id,scenario_id,contingency_id,violation_label,severity_score,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,contingency_type,element_table,element_index,base_load_scale,base_phase_a_factor,base_phase_b_factor,base_phase_c_factor,base_pv_scale,base_bess_p_discharge_mw,base_min_vm_pu,base_max_vm_pu,base_max_vuf_percent,base_max_line_loading_percent,base_p_grid_mw,base_q_grid_mvar,base_p_load_mw,base_q_load_mvar,base_p_sgen_mw,base_p_line_loss_mw,base_p_load_a_mw,base_p_load_b_mw,base_p_load_c_mw,base_p_sgen_a_mw,base_p_sgen_b_mw,base_p_sgen_c_mw,base_mode
r0000,base,line_0_out,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,line_outage,line,0,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0001,base,line_1_out,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,line_outage,line,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0002,base,line_2_out,1,0.8,1.0,1.0,1.0,1.0,0.0,0.0,line_outage,line,2,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0003,base,line_3_out,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,line_outage,line,3,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0004,base,line_6_out,1,0.5499999999999999,1.0,1.0,1.0,1.0,0.0,0.0,line_outage,line,6,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0005,base,line_7_out,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,line_outage,line,7,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0006,base,pv_0_trip,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,pv_trip,asymmetric_sgen,0,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0007,base,pv_1_trip,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,pv_trip,asymmetric_sgen,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0008,base,pv_2_trip,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,pv_trip,asymmetric_sgen,2,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0009,base,bess_trip,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,bess_trip,bess_pair,bess_static_setpoint,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0010,base,pcc_outage,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,pcc_outage,ext_grid,0,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,0.0209999999999999,0.026,0.021,0.0,0.0,0.0,grid_connected
r0011,high_load,line_0_out,1,1.0,1.25,1.0,1.0,1.0,0.0,0.0,line_outage,line,0,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,0.02625,0.0325,0.02625,0.0,0.0,0.0,grid_connected
r0012,high_load,line_1_out,1,1.0,1.25,1.0,1.0,1.0,0.0,0.0,line_outage,line,1,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,0.02625,0.0325,0.02625,0.0,0.0,0.0,grid_connected
r0013,high_load,line_2_out,1,1.0,1.25,1.0,1.0,1.0,0.0,0.0,line_outage,line,2,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,0.02625,0.0325,0.02625,0.0,0.0,0.0,grid_connected
r0014,high_load,line_3_out,0,0.0,1.25,1.0,1.0,1.0,0.0,0.0,line_outage,line,3,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,0.02625,0.0325,0.02625,0.0,0.0,0.0,grid_connected
r0015,high_load,line_6_out,1,0.6875,1.25,1.0,1.0,1.0,0.0,0.0,line_outage,line,6,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,0.02625,0.0325,0.02625,0.0,0.0,0.0,grid_connected
r0016,high_load,line_7_out,1,1.0,1.25,1.0,1.0,1.0,0.0,0.0,line_outage,line,7,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,0.02625,0.0325,0.02625,0.0,0.0,0.0,grid_connected
r0017,high_load,pv_0_trip,0,0.0,1.25,1.0,1.0,1.0,0.0,0.0,pv_trip,asymmetric_sgen,0,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,0.02625,0.0325,0.02625,0.0,0.0,0.0,grid_connected
r0018,high_load,pv_1_trip,0,0.0,1.25,1.0,1.0,1.0,0.0,0.0,pv_trip,asymmetric_sgen,1,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,0.02625,0.0325,0.02625,0.0,0.0,0.0,grid_connected
r0019,high_load,pv_2_trip,0,0.0,1.25,1.0,1.0,1.0,0.0,0.0,pv_trip,asymmetric_sgen,2,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,0.02625,0.0325,0.02625,0.0,0.0,0.0,grid_connected
r0020,high_load,bess_trip,0,0.0,1.25,1.0,1.0,1.0,0.0,0.0,bess_trip,bess_pair,bess_static_setpoint,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,0.02625,0.0325,0.02625,0.0,0.0,0.0,grid_connected
r0021,high_load,pcc_outage,1,1.0,1.25,1.0,1.0,1.0,0.0,0.0,pcc_outage,ext_grid,0,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,0.02625,0.0325,0.02625,0.0,0.0,0.0,grid_connected
r0022,high_pv_midday,line_0_out,1,1.0,0.75,1.0,1.0,1.0,1.0,0.0,line_outage,line,0,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0023,high_pv_midday,line_1_out,1,1.0,0.75,1.0,1.0,1.0,1.0,0.0,line_outage,line,1,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0024,high_pv_midday,line_2_out,1,0.6,0.75,1.0,1.0,1.0,1.0,0.0,line_outage,line,2,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0025,high_pv_midday,line_3_out,0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,line_outage,line,3,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0026,high_pv_midday,line_6_out,1,0.4125,0.75,1.0,1.0,1.0,1.0,0.0,line_outage,line,6,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0027,high_pv_midday,line_7_out,1,1.0,0.75,1.0,1.0,1.0,1.0,0.0,line_outage,line,7,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0028,high_pv_midday,pv_0_trip,0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,pv_trip,asymmetric_sgen,0,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0029,high_pv_midday,pv_1_trip,0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,pv_trip,asymmetric_sgen,1,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0030,high_pv_midday,pv_2_trip,0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,pv_trip,asymmetric_sgen,2,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0031,high_pv_midday,bess_trip,0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,bess_trip,bess_pair,bess_static_setpoint,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0032,high_pv_midday,pcc_outage,1,1.0,0.75,1.0,1.0,1.0,1.0,0.0,pcc_outage,ext_grid,0,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0033,phase_b_heavy,line_0_out,1,1.0,1.0,0.9,1.45,0.9,0.4,0.0,line_outage,line,0,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0034,phase_b_heavy,line_1_out,1,1.0,1.0,0.9,1.45,0.9,0.4,0.0,line_outage,line,1,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0035,phase_b_heavy,line_2_out,1,0.9125,1.0,0.9,1.45,0.9,0.4,0.0,line_outage,line,2,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0036,phase_b_heavy,line_3_out,0,0.0,1.0,0.9,1.45,0.9,0.4,0.0,line_outage,line,3,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0037,phase_b_heavy,line_6_out,1,0.55,1.0,0.9,1.45,0.9,0.4,0.0,line_outage,line,6,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0038,phase_b_heavy,line_7_out,1,1.0,1.0,0.9,1.45,0.9,0.4,0.0,line_outage,line,7,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0039,phase_b_heavy,pv_0_trip,0,0.0,1.0,0.9,1.45,0.9,0.4,0.0,pv_trip,asymmetric_sgen,0,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
