row_id,scenario_id,contingency_id,contingency_type,element_table,element_index,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,converged,min_vm_pu,max_vm_pu,max_vuf_percent,max_line_loading_percent,unserved_load_mw,critical_unserved_load_mw,voltage_low_violation,voltage_high_violation,loading_violation,vuf_violation,non_convergence_violation,service_loss_violation,critical_service_loss_violation,violation_label,severity_score,base_mode,base_load_scale,base_phase_a_factor,base_phase_b_factor,base_phase_c_factor,base_pv_scale,base_bess_p_discharge_mw,base_min_vm_pu,base_max_vm_pu,base_max_vuf_percent,base_max_line_loading_percent,base_p_grid_mw,base_q_grid_mvar,base_p_load_mw,base_q_load_mvar,base_p_sgen_mw,base_p_line_loss_mw,base_converged,base_p_load_a_mw,base_p_load_b_mw,base_p_load_c_mw,base_p_sgen_a_mw,base_p_sgen_b_mw,base_p_sgen_c_mw
r0000,base,line_0_out,line_outage,line,0,1.0,1.0,1.0,1.0,0.0,0.0,False,,,,,0.0679999999999999,0.027,False,False,False,False,False,True,True,1,1.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0001,base,line_1_out,line_outage,line,1,1.0,1.0,1.0,1.0,0.0,0.0,False,,,,,0.052,0.027,False,False,False,False,False,True,True,1,1.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0002,base,line_2_out,line_outage,line,2,1.0,1.0,1.0,1.0,0.0,0.0,False,,,,,0.016,0.0,False,False,False,False,False,True,False,1,0.8,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0003,base,line_3_out,line_outage,line,3,1.0,1.0,1.0,1.0,0.0,0.0,True,0.9795967178579028,1.0000358028273966,0.1237944404165967,46.68015398483675,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0004,base,line_6_out,line_outage,line,6,1.0,1.0,1.0,1.0,0.0,0.0,False,,,,,0.011,0.0,False,False,False,False,False,True,False,1,0.5499999999999999,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0005,base,line_7_out,line_outage,line,7,1.0,1.0,1.0,1.0,0.0,0.0,False,,,,,0.01,0.01,False,False,False,False,False,True,True,1,1.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0006,base,pv_0_trip,pv_trip,asymmetric_sgen,0,1.0,1.0,1.0,1.0,0.0,0.0,True,0.9795967211809594,1.0000358028353686,0.1237944392189958,46.68011834629415,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0007,base,pv_1_trip,pv_trip,asymmetric_sgen,1,1.0,1.0,1.0,1.0,0.0,0.0,True,0.9795967211809594,1.0000358028353686,0.1237944392189958,46.68011834629415,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0008,base,pv_2_trip,pv_trip,asymmetric_sgen,2,1.0,1.0,1.0,1.0,0.0,0.0,True,0.9795967211809594,1.0000358028353686,0.1237944392189958,46.68011834629415,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0009,base,bess_trip,bess_trip,bess_pair,bess_static_setpoint,1.0,1.0,1.0,1.0,0.0,0.0,True,0.9795967211809594,1.0000358028353686,0.1237944392189958,46.68011834629415,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0010,base,pcc_outage,pcc_outage,ext_grid,0,1.0,1.0,1.0,1.0,0.0,0.0,False,,,,,0.0679999999999999,0.027,False,False,False,False,True,True,True,1,1.0,grid_connected,1.0,1.0,1.0,1.0,0.0,0.0,0.9795967211810784,1.0000358028353675,0.123794439215878,46.68011834615757,0.0689324413007779,0.0137182445514926,0.068,0.0136,0.0,0.0009324417177801,True,0.0209999999999999,0.026,0.021,0.0,0.0,0.0
r0011,high_load,line_0_out,line_outage,line,0,1.25,1.0,1.0,1.0,0.0,0.0,False,,,,,0.0849999999999999,0.03375,False,False,False,False,False,True,True,1,1.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0012,high_load,line_1_out,line_outage,line,1,1.25,1.0,1.0,1.0,0.0,0.0,False,,,,,0.065,0.03375,False,False,False,False,False,True,True,1,1.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0013,high_load,line_2_out,line_outage,line,2,1.25,1.0,1.0,1.0,0.0,0.0,False,,,,,0.02,0.0,False,False,False,False,False,True,False,1,1.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0014,high_load,line_3_out,line_outage,line,3,1.25,1.0,1.0,1.0,0.0,0.0,True,0.9743660246311072,1.0000457366121511,0.1573741253659677,58.5972027896911,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0015,high_load,line_6_out,line_outage,line,6,1.25,1.0,1.0,1.0,0.0,0.0,False,,,,,0.01375,0.0,False,False,False,False,False,True,False,1,0.6875,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0016,high_load,line_7_out,line_outage,line,7,1.25,1.0,1.0,1.0,0.0,0.0,False,,,,,0.0125,0.0125,False,False,False,False,False,True,True,1,1.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0017,high_load,pv_0_trip,pv_trip,asymmetric_sgen,0,1.25,1.0,1.0,1.0,0.0,0.0,True,0.9743660279644432,1.0000457366221878,0.1573741238583093,58.597167203635706,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0018,high_load,pv_1_trip,pv_trip,asymmetric_sgen,1,1.25,1.0,1.0,1.0,0.0,0.0,True,0.9743660279644432,1.0000457366221878,0.1573741238583093,58.597167203635706,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0019,high_load,pv_2_trip,pv_trip,asymmetric_sgen,2,1.25,1.0,1.0,1.0,0.0,0.0,True,0.9743660279644432,1.0000457366221878,0.1573741238583093,58.597167203635706,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0020,high_load,bess_trip,bess_trip,bess_pair,bess_static_setpoint,1.25,1.0,1.0,1.0,0.0,0.0,True,0.9743660279644432,1.0000457366221878,0.1573741238583093,58.597167203635706,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0021,high_load,pcc_outage,pcc_outage,ext_grid,0,1.25,1.0,1.0,1.0,0.0,0.0,False,,,,,0.0849999999999999,0.03375,False,False,False,False,True,True,True,1,1.0,grid_connected,1.25,1.0,1.0,1.0,0.0,0.0,0.9743660279650418,1.000045736622183,0.1573741238423134,58.59716720295517,0.0864680213122799,0.0171876024099353,0.085,0.017,0.0,0.0014680225793884,True,0.02625,0.0325,0.02625,0.0,0.0,0.0
r0022,high_pv_midday,line_0_out,line_outage,line,0,0.75,1.0,1.0,1.0,1.0,0.0,False,,,,,0.051,0.02025,False,False,False,False,False,True,True,1,1.0,grid_connected,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,True,0.01575,0.0195,0.01575,0.008,0.002,0.008
r0023,high_pv_midday,line_1_out,line_outage,line,1,0.75,1.0,1.0,1.0,1.0,0.0,False,,,,,0.039,0.02025,False,False,False,False,False,True,True,1,1.0,grid_connected,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,True,0.01575,0.0195,0.01575,0.008,0.002,0.008
r0024,high_pv_midday,line_2_out,line_outage,line,2,0.75,1.0,1.0,1.0,1.0,0.0,False,,,,,0.012,0.0,False,False,False,False,False,True,False,1,0.6,grid_connected,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,True,0.01575,0.0195,0.01575,0.008,0.002,0.008
r0025,high_pv_midday,line_3_out,line_outage,line,3,0.75,1.0,1.0,1.0,1.0,0.0,True,0.9866982725019556,1.0057466359940226,0.2582009893027978,31.399747644451075,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,True,0.01575,0.0195,0.01575,0.008,0.002,0.008
r0026,high_pv_midday,line_6_out,line_outage,line,6,0.75,1.0,1.0,1.0,1.0,0.0,False,,,,,0.00825,0.0,False,False,False,False,False,True,False,1,0.4125,grid_connected,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,True,0.01575,0.0195,0.01575,0.008,0.002,0.008
r0027,high_pv_midday,line_7_out,line_outage,line,7,0.75,1.0,1.0,1.0,1.0,0.0,False,,,,,0.0075,0.0075,False,False,False,False,False,True,True,1,1.0,grid_connected,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,True,0.01575,0.0195,0.01575,0.008,0.002,0.008
r0028,high_pv_midday,pv_0_trip,pv_trip,asymmetric_sgen,0,0.75,1.0,1.0,1.0,1.0,0.0,True,0.9866982757040476,1.0057466450630586,0.2582009880484728,31.399707831038555,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,True,0.01575,0.0195,0.01575,0.008,0.002,0.008
r0029,high_pv_midday,pv_1_trip,pv_trip,asymmetric_sgen,1,0.75,1.0,1.0,1.0,1.0,0.0,True,0.9864854304406938,1.0052427231663223,0.2336828985889033,31.409641075062627,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,True,0.01575,0.0195,0.01575,0.008,0.002,0.008
r0030,high_pv_midday,pv_2_trip,pv_trip,asymmetric_sgen,2,0.75,1.0,1.0,1.0,1.0,0.0,True,0.9838469804827832,1.0043685295314635,0.2419729860021238,34.91152483978671,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,True,0.01575,0.0195,0.01575,0.008,0.002,0.008
r0031,high_pv_midday,bess_trip,bess_trip,bess_pair,bess_static_setpoint,0.75,1.0,1.0,1.0,1.0,0.0,True,0.9861292539855148,1.0048565356561785,0.2416010009273524,31.426609136207333,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,True,0.01575,0.0195,0.01575,0.008,0.002,0.008
r0032,high_pv_midday,pcc_outage,pcc_outage,ext_grid,0,0.75,1.0,1.0,1.0,1.0,0.0,False,,,,,0.051,0.02025,False,False,False,False,True,True,True,1,1.0,grid_connected,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,True,0.01575,0.0195,0.01575,0.008,0.002,0.008
r0033,phase_b_heavy,line_0_out,line_outage,line,0,1.0,0.9,1.45,0.9,0.4,0.0,False,,,,,0.0755,0.02925,False,False,False,False,False,True,True,1,1.0,grid_connected,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,True,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0
r0034,phase_b_heavy,line_1_out,line_outage,line,1,1.0,0.9,1.45,0.9,0.4,0.0,False,,,,,0.05725,0.02925,False,False,False,False,False,True,True,1,1.0,grid_connected,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,True,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0
r0035,phase_b_heavy,line_2_out,line_outage,line,2,1.0,0.9,1.45,0.9,0.4,0.0,False,,,,,0.01825,0.0,False,False,False,False,False,True,False,1,0.9125,grid_connected,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,True,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0
r0036,phase_b_heavy,line_3_out,line_outage,line,3,1.0,0.9,1.45,0.9,0.4,0.0,True,0.9651492314694188,1.0002473010599966,0.4900722991101351,67.07425154449892,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,True,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0
r0037,phase_b_heavy,line_6_out,line_outage,line,6,1.0,0.9,1.45,0.9,0.4,0.0,False,,,,,0.011,0.0,False,False,False,False,False,True,False,1,0.55,grid_connected,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,True,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0
r0038,phase_b_heavy,line_7_out,line_outage,line,7,1.0,0.9,1.45,0.9,0.4,0.0,False,,,,,0.0112,0.0112,False,False,False,False,False,True,True,1,1.0,grid_connected,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,True,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0
r0039,phase_b_heavy,pv_0_trip,pv_trip,asymmetric_sgen,0,1.0,0.9,1.45,0.9,0.4,0.0,True,0.965149234752603,1.00024730999529,0.4900722969026096,67.07421516624039,0.0,0.0,False,False,False,False,False,False,False,0,0.0,grid_connected,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,True,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0
